1 55
2 55
3 55
4 55
5 55
6 69.3
7 87.318
8 110.021
9 138.626
10 138.626
8 144.171
9 149.938
10 149.938
11 155.936
12 162.173
13 162.173
14 168.66
15 175.406
16 175.406
17 133.309
18 101.315
19 76.9994
20 76.9994
38 115.499
39 173.249
40 173.249
41 259.873
42 389.809
43 389.809
44 584.714
45 877.071
46 877.071
46 1227.9
47 1719.06
48 2406.68
49 2406.68
50 3369.35
51 4717.09
52 6603.93
53 6603.93
54 9245.5
55 12943.7
56 18121.2
57 18121.2
58 25369.7
59 35517.6
60 49724.6
61 49724.6
62 69614.4
63 97460.2
64 136444
65 136444
63 126893
64 118010
65 109749
66 102067
67 94922.3
68 88277.7
69 88277.7
67 76801.6
68 66817.4
69 58131.1
70 50574.1
71 43999.5
72 38279.6
73 38279.6
