1 67
2 67
3 67
4 67
5 67
6 82.41
7 101.364
8 124.678
9 153.354
10 153.354
19 167.156
20 182.2
21 198.598
22 216.472
23 235.954
24 257.19
25 257.19
26 318.916
27 395.456
28 490.365
29 608.053
30 753.986
31 753.986
32 934.943
33 1159.33
34 1437.57
35 1782.59
36 2210.41
37 2210.41
38 2519.87
39 2872.65
40 3274.82
41 3733.29
42 4255.95
43 4255.95
44 4851.78
45 5531.03
46 6305.37
47 7188.12
48 8194.46
49 8194.46
46 10161.1
47 12599.8
48 15623.8
49 19373.5
50 19373.5
51 24023.1
52 29788.6
53 36937.9
54 45803
55 45803
56 56795.7
57 70426.7
58 87329.1
59 108288
60 108288
61 134277
62 166503
63 206464
64 256015
65 256015
63 212492
64 176368
65 146385
66 121500
67 121500
70 114210
71 107357
72 100916
73 94861
74 89169.3
75 89169.3
76 83819.1
77 78790
78 74062.6
79 69618.8
80 65441.7
81 65441.7
